ID,SLIKA,IME,GRAD,ADRESA,MJESTO,GEOGR. ŠIRINA,GEOGR. DUŽINA,LOKACIJA,TIP,USLUGE,ŽUPANIJA
203,(BLOB),HOTEL LUNA D.O.O.  JAKIŠNICA B.B. LUN,LUN,JAKIŠNICA B.B.,,44.645023,14.775109,HOTEL LUNA D.O.O.,BANKOMAT,,LIČKO-SENJSKA ŽUPANIJA
204,(BLOB),"BRODOKOMERCE  KVATERNIKOVA 65, VEŽICE RIJEKA",VEŽICE RIJEKA,KVATERNIKOVA 65,,45.321003,14.474825,BRODOKOMERCE,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
205,(BLOB),"POŠTANSKI URED    JURIŠIĆEVA 13  ZAGREB, CENTAR (UŽI)",ZAGREB,JURIŠIĆEVA 13,CENTAR (UŽI),45.81237,15.980912,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
206,(BLOB),"POSLOVNICA    MAKSIMIRSKA 107  ZAGREB, MAKSIMIR",ZAGREB,MAKSIMIRSKA 107,,45.818325,16.010469,POSLOVNICA,BANKOMAT,,GRAD ZAGREB
207,(BLOB),HOTEL MALIN  KRALJA TOMISLAVA 23 MALINSKA,MALINSKA,KRALJA TOMISLAVA 23,,45.119144,14.521565,HOTEL MALIN,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
208,(BLOB),WEST GATE - PRIZEMLJE  ZAPREŠIĆKA 1 DONJA BISTRA,DONJA BISTRA,ZAPREŠIĆKA 1,,45.871487,15.825977,WEST GATE - PRIZEMLJE,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
209,(BLOB),WEST GATE - 1. KAT  ZAPREŠIĆKA 1 DONJA BISTRA,DONJA BISTRA,ZAPREŠIĆKA 1,,45.871651,15.826106,WEST GATE - 1. KAT,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
210,(BLOB),"TRGOVAČKI CENTAR GARDEN MALL    OPOROVEČKA 14  ZAGREB, DUBRAVA",ZAGREB,OPOROVEČKA 14,,45.836037,16.045748,TRGOVAČKI CENTAR GARDEN MALL,BANKOMAT,,GRAD ZAGREB
211,(BLOB),FINA  TRG VINODOLSKOG ZAKONIKA 1 NOVI VINODOLSKI,NOVI VINODOLSKI,TRG VINODOLSKOG ZAKONIKA 1,,45.128609,14.789186,FINA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
212,(BLOB),"KOZMO    GRGURA NINSKOG BB  ZAGREB, CENTAR (UŽI)",ZAGREB,GRGURA NINSKOG BB,CENTAR (UŽI),45.803913,15.977436,KOZMO,BANKOMAT,,GRAD ZAGREB
213,(BLOB),KOZMO    MARŠALA TITA 86  OPATIJA,OPATIJA,MARŠALA TITA 86,,45.338009,14.308834,KOZMO,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
214,(BLOB),POSLOVNICA    J.J. STROSSMAYERA 2  NAŠICE,NAŠICE,J.J. STROSSMAYERA 2,,45.490601,18.094482,POSLOVNICA,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
215,(BLOB),KONZUM    TRG ANTE STARČEVIĆA 5  SV. IVAN ZELINA,SV. IVAN ZELINA,TRG ANTE STARČEVIĆA 5,,45.959827,16.242476,KONZUM,BANKOMAT,,ZAGREBAČKA ŽUPANIJA
216,(BLOB),POŠTANSKI URED    PALIT 67  RAB,RAB,PALIT 67,,44.760944,14.760733,POŠTANSKI URED,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
217,(BLOB),PRIVATNI PROSTOR    TRG PETRA ŠEGEDINA 7  KORČULA,KORČULA,TRG PETRA ŠEGEDINA 7,,42.960663,17.134401,PRIVATNI PROSTOR,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
218,(BLOB),POSLOVNICA    TRG IVANA PAVLA II 1  TROGIR ,TROGIR,TRG IVANA PAVLA II,,43.516781,16.251505,POSLOVNICA,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
219,(BLOB),OPĆA BOLNICA ZADAR - EUROMODUL    BOŽE PERIČIČA 5  ZADAR,ZADAR,BOŽE PERIČIČA 5,,44.107613,15.233121,OPĆA BOLNICA ZADAR - EUROMODUL,BANKOMAT,,ZADARSKA ŽUPANIJA
220,(BLOB),SUPERNOVA KARLOVAC    PRILAZ VEĆESLAVA HOLJEVCA 12  KARLOVAC ,KARLOVAC,PRILAZ VEĆESLAVA HOLJEVCA 12,,45.504635,15.544796,SUPERNOVA KARLOVAC,BANKOMAT,,KARLOVAČKA ŽUPANIJA
221,(BLOB),KNJIŽARA TRGOSTIL    TRG IVANA PAVLA II BR.23  MARIJA BISTRICA,MARIJA BISTRICA,TRG IVANA PAVLA II BR.23,,46.005226,16.11866,KNJIŽARA TRGOSTIL,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
223,(BLOB),TZ GRADA PAGA    TRG PETRA KREŠIMIRA IV  PAG,PAG,TRG PETRA KREŠIMIRA IV,,44.443848,15.054563,TZ GRADA PAGA,BANKOMAT,,ZADARSKA ŽUPANIJA
224,(BLOB),ZRAČNA LUKA    ZRAČNA LUKA ZADAR P.P.  ZADAR ,ZADAR,ZRAČNA LUKA ZADAR P.P.,,44.09647,15.353093,ZRAČNA LUKA,BANKOMAT,,ZADARSKA ŽUPANIJA
1,(BLOB),POSLOVNICA  JURIŠIĆEVA 4  ZAGREB CENTAR (UŽI),ZAGREB,JURIŠIĆEVA 4,CENTAR (UŽI),45.812386,15.979078,POSLOVNICA,BANKOMAT,,GRAD ZAGREB
2,(BLOB),POSLOVNICA  PETRINJSKA  ZAGREB CENTAR (UŽI) ,ZAGREB,PETRINJSKA,"CENTAR (UŽI)
",45.812359,15.979013,POSLOVNICA,BANKOMAT,,GRAD ZAGREB
3,(BLOB),POŠTANSKI URED  DANTEOV TRG 4 PULA,PULA,DANTEOV TRG 4,,44.867123,13.844512,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
4,(BLOB),"POŠTANSKI URED   
BRANIMIROVA 4 SJEVERNI ULAZ  ZAGREB CENTAR (UŽI)",ZAGREB,BRANIMIROVA 4 SJEVERNI ULAZ,CENTAR (UŽI),45.805088,15.981342,POŠTANSKI URED,BANKOMAT,,GRAD ZAGREB
9,(BLOB),POSLOVNICA  KORZO 13 RIJEKA,RIJEKA,KORZO 13,,45.326542,14.442472,POSLOVNICA,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
5,(BLOB),POŠTANSKI URED  OBALA KNEZA DOMAGOJA 3 SPLIT,SPLIT,OBALA KNEZA DOMAGOJA 3,,43.506279,16.441685,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
6,(BLOB),POŠTANSKI URED  MATIJE GUPCA 19 ZABOK,ZABOK,MATIJE GUPCA 19,,46.029449,15.910606,POŠTANSKI URED,BANKOMAT,,KRAPINSKO-ZAGORSKA ŽUPANIJA
7,(BLOB),"POŠTANSKI URED  V.VARIĆAKA 13  ZAGREB, SLOBOŠTINA",ZAGREB,V.VARIĆAKA 13,,45.765434,15.987875,POŠTANSKI URED ,BANKOMAT,,GRAD ZAGREB
8,(BLOB),POŠTANSKI URED  KRALJA TOMISLAVA 9 SPLIT,SPLIT,KRALJA TOMISLAVA 9,,43.509983,16.438841,POŠTANSKI URED,BANKOMAT,,SPLITSKO-DALMATINSKA ŽUPANIJA
10,(BLOB),POSLOVNICA ZRINSKO - FRANKOPANSKA 8  ZADAR,ZADAR,ZRINSKO - FRANKOPANSKA 8,,44.109753,15.235441,POSLOVNICA,BANKOMAT,,ZADARSKA ŽUPANIJA
11,(BLOB),POSLOVNICA TRG SLOBODE 9A VARAŽDIN,VARAŽDIN,TRG SLOBODE 9A,,46.305882,16.336285,POSLOVNICA,BANKOMAT,,VARAŽDINSKA ŽUPANIJA
12,(BLOB),POŠTANSKI URED S. I A. RADIĆA 29 SISAK,SISAK,S. I A. RADIĆA 29,,45.488297,16.372417,POŠTANSKI URED,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
13,(BLOB),POŠTANSKI URED TRG POBJEDE 2 SLAVONSKI BROD,SLAVONSKI BROD,TRG POBJEDE 2,,45.157272,18.012342,POŠTANSKI URED,BANKOMAT,,BRODSKO-POSAVSKA ŽUPANIJA
14,(BLOB),POŠTANSKI URED TRG A. STARČEVIĆA BB OSIJEK,OSIJEK,TRG A. STARČEVIĆA BB,,45.561428,18.677006,POŠTANSKI URED,BANKOMAT,,OSJEČKO-BARANJSKA ŽUPANIJA
15,(BLOB),POŠTANSKI URED BRANITELJA DUBROVNIKA 2  DUBROVNIK,DUBROVNIK,BRANITELJA DUBROVNIKA 2,,42.642769,18.103708,POŠTANSKI URED,BANKOMAT,,DUBROVAČKO-NERETVANSKA ŽUPANIJA
16,(BLOB),"ZAGREPČANKA SAVSKA 41  ZAGREB, CENTAR (ŠIRI)",ZAGREB,SAVSKA 41,CENTAR (ŠIRI),45.798695,15.962362,ZAGREPČANKA,BANKOMAT,,GRAD ZAGREB
17,(BLOB),FINA  FRANJE TUĐMANA 8 VUKOVAR,VUKOVAR,FRANJE TUĐMANA 8,,45.352062,18.999632,FINA,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
18,(BLOB),FINA  H.D. GENSCHERA 2 VINKOVCI,VINKOVCI,H.D. GENSCHERA 2,,45.287586,18.80234,FINA,BANKOMAT,,VUKOVARSKO-SRIJEMSKA ŽUPANIJA
19,(BLOB),POŠTANSKI URED  I.G.KOVAČIĆA 1 KARLOVAC,KARLOVAC,I.G.KOVAČIĆA 1,,45.494873,15.553583,POŠTANSKI URED,BANKOMAT,,KARLOVAČKA ŽUPANIJA
20,(BLOB),POŠTANSKI URED  ISTARSKA 7 PULA,PULA,ISTARSKA 7,,44.870621,13.848438,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
21,(BLOB),POŠTANSKI URED  PINO BUDIČIN 1 POREČ,POREČ,PINO BUDIČIN 1,,45.227242,13.59615,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
22,(BLOB),POŠTANSKI URED  ZELENA LAGUNA  POREČ,POREČ,ZELENA LAGUNA,,45.198219,13.591182,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
23,(BLOB),POŠTANSKI URED  1.SVIBNJA BR.1 UMAG,UMAG,1.SVIBNJA BR.1,,45.431763,13.522325,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
24,(BLOB),POŠTANSKI URED  M. BENUSSI 4 ROVINJ,ROVINJ,M. BENUSSI 4,,45.080906,13.639612,POŠTANSKI URED,BANKOMAT,,ISTARSKA ŽUPANIJA
26,(BLOB),POŠTANSKI URED  IVANA SKOMERŽE 1 CRIKVENICA,CRIKVENICA,IVANA SKOMERŽE 1,,45.172523,14.691339,POŠTANSKI URED,BANKOMAT,,PRIMORSKO-GORANSKA ŽUPANIJA
27,(BLOB),FINA  I.K.SAKCINSKOG 1 SISAK,SISAK,I.K.SAKCINSKOG 1,,45.487621,16.371195,FINA,BANKOMAT,,SISAČKO-MOSLAVAČKA ŽUPANIJA
28,(BLOB),POŠTANSKI URED  ANTE STARČEVIĆA BB ŠIBENIK,ŠIBENIK,ANTE STARČEVIĆA BB,,43.732243,15.896616,POŠTANSKI URED,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
29,(BLOB),POŠTANSKI URED OBALA I.JURIČEV COTE 4  VODICE,VODICE,OBALA I.JURIČEV COTE 4,,43.758354,15.776539,POŠTANSKI URED,BANKOMAT,,ŠIBENSKO-KNINSKA ŽUPANIJA
