Tip ustanove,Naziv ustanove:,Adresa ustanove:,Longitude,Latitude
Ustanova osnovnog školstva,Osnovna škola Trnsko,Zagreb; Trnsko 25,15.96328,45.774199
Ustanova osnovnog školstva,Osnovna škola Pantovčak,HERCEGOVAČKA  108,15.959209,45.821699 
Ustanova osnovnog školstva,Osnovna škola Ivana Gundulića,Gundulićeva 23a; Zagreb,15.97287,45.809941 
Ustanova osnovnog školstva,Osnovna škola Borovje,Davora Zbiljskog 7,16.008881,45.787421 
Ustanova osnovnog školstva,Osnovna škola Malešnica,Ante Topića Mimare 36 Zagreb,15.901665,45.808048 
Ustanova osnovnog školstva,Osnovna škola Ivana Meštrovića,M. Pušteka 1,15.932932,45.788124 
Ustanova osnovnog školstva,Osnovna škola Retkovec,Aleja javora bb,15.977895,45.813029 
Ustanova osnovnog školstva,I.osnovna škola Dugave,Školski prilaz bb; Zagreb,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna Škola Jelkovec,Dragana Plamenca 1; 10360 Sesvete,16.112619,45.812004 
Ustanova osnovnog školstva,Osnovna škola Matka Laginje,Laginjina 13; 10000 Zagreb,15.991963,45.812931 
Ustanova osnovnog školstva,Osnovna škola Josipa Račića,Zagreb; Srednjaci bb,15.977895,45.813029 
Ustanova osnovnog školstva,Osnovna škola Bana Josipa Jelačića,10090 Zagreb; Podgradski odvojak 1,15.833119,45.817399 
Ustanova osnovnog školstva,Osnovna škola Gornje Vrapče,Vrapčanska 188.; Zagreb,15.904135,45.832666 
Ustanova osnovnog školstva,Osnovna škola Davorina Trstenjaka,Zagreb; Krčka 3,15.973555,45.797997 
Ustanova osnovnog školstva,Osnovna škola Trnjanska,TRNJANSKA C. 99 ZAGREB,15.980456,45.793025 
Ustanova osnovnog školstva,Osnovna škola Odra,Đačka 5,15.996464,45.735091 
Ustanova osnovnog školstva,Osnovna škola Brezovica,Brezovička c. 98 a,15.926658,45.752796 
Ustanova osnovnog školstva,Osnovna škola za balet i ritmiku,Zagorska 16,15.943287,45.807025 
Ustanova osnovnog školstva,Osnovna škola Lučko,Puškarićeva 102,15.896934,45.759813 
Ustanova osnovnog školstva,Osnovna škola Kralja Tomislava,Nova cesta 92,15.955099,45.801497 
Ustanova osnovnog školstva,Osnovna škola Pavleka Miškine,Sveti Duh 24,15.942389,45.815192 
Ustanova osnovnog školstva,Osnovna škola Čučerje,čučerska cesta 382,16.059787,45.89255 
Ustanova osnovnog školstva,Osnovna škola Rapska,Zagreb; Rapska 3,16.002734,45.799174 
Ustanova osnovnog školstva,Osnovna škola Antuna Mihanovića,Dubečka 5,16.077937,45.82982 
Ustanova osnovnog školstva,Osnovna škola Augusta Šenoe,Selska cesta 95,15.943492,45.802494 
Ustanova osnovnog školstva,Osnovna škola Jure Kaštelana,Vladimira Ruždjaka 2a,15.992449,45.789831 
Ustanova osnovnog školstva,Osnovna škola Granešina,GRANEŠINA 1,16.053854,45.848893 
Ustanova osnovnog školstva,Osnovna škola Marina Držića,Nalješkovićeva 4,15.993313,45.797524 
Ustanova osnovnog školstva,Osnovna škola  Antuna Gustava Matoša,A.A. Augustinčića 12,16.026082,45.818619 
Ustanova osnovnog školstva,Osnovna škola Horvati,Horvaćanska 6; Zagreb,15.953047,45.787526 
Ustanova osnovnog školstva,Osnovna škola Sesvetska Sela,Letnička 5; 10360 Sesvete; Zagreb,16.135034,45.830892 
Ustanova osnovnog školstva,Osnovna škola Rudeš,Jablanska 51; Zagreb,15.917559,45.796943
Ustanova osnovnog školstva,Osnovna škola Grofa Janka Draškovića,Vrapčanska 7,15.903186,45.811705 
Ustanova osnovnog školstva,Osnovna škola Voltino,Vinkovačka 1,15.927693,45.802545 
Ustanova osnovnog školstva,oš šestine,podrebernica 13,15.95718,45.852135 
Ustanova osnovnog školstva,OŠ STJEPANA BENCEKOVIĆA,HORVAĆANSKI TRG 1,15.977895,45.813029 
Ustanova osnovnog školstva,CENTAR ZA AUTIZAM,DVORNIČIĆEVA 6; ZAGREB,15.980879,45.819549 
Ustanova osnovnog školstva,osnovna škola Savski Gaj,remetinečka cesta 64a,15.951835,45.775117
