ATM PK;BRANCH FK;LOCATION FK;ORG ID;A TYPE;a type desc;A PLACE;A NAME;A STATUS;a status desc;BOBJECT NAME;WHOURS TYPE;a whours type desc;REMARK;WEB NOTE;WEB STATUS;a web status desc;LOCATION PK;COUNTY ID;COUNTY NAME;PLACE ZIP;PLACE NAME;STREET NAME;HOUSE N;HOUSE SUBN;ADDRESS LONG;address full;housenum full;X;Y;L STATUS;l status desc;;LONG;LAT
21209;;29;84551;1;Bankomat;Cestica;Varaûdinska 27;1;U funkciji (radi);Trgovina Trend;1;0-24 h;;;1;Prikaûi na karti;29;5;Varaûdinska ûupanija;42208;Cestica;Varaûdinska;27;;Varaûdinska 27;Cestica, Varaûdinska 27;27;2471860.27;5135001.31;1;Prikaûi na karti;;" 16∞ 7' 45""";" 46∞ 22' 4"""
21210;;30;88947;1;Bankomat;Cres;Peökera 8;1;U funkciji (radi);FINA;1;0-24 h;;;1;Prikaûi na karti;30;8;Primorsko-goranska ûupanija;51557;Cres;Peökera;8;;Peökera 8;Cres, Peökera 8;8;2335594.37;4980499.78;1;Prikaûi na karti;;" 14∞ 24' 39""";" 44∞ 57' 32"""
21211;;31;10111;1;Bankomat;Crikvenica;Nike VeljaËiÊa 3;1;U funkciji (radi);Autotrans d.o.o.;1;0-24 h;;;1;Prikaûi na karti;31;8;Primorsko-goranska ûupanija;51260;Crikvenica;Nike VeljaËiÊa;3;;Nike VeljaËiÊa 3;Crikvenica, Nike VeljaËiÊa 3;3;2358342.57;5003730.8;1;Prikaûi na karti;;" 14∞ 41' 33""";" 45∞ 10' 22"""
21212;;32;35747;1;Bankomat;Crikvenica;Trg S. RadiÊa 1;1;U funkciji (radi);Ljekarna - FuduriÊ,éuûiÊ,Boras;1;0-24 h;;;1;Prikaûi na karti;32;8;Primorsko-goranska ûupanija;51260;Crikvenica;Trg S. RadiÊa;1;;Trg S. RadiÊa 1;Crikvenica, Trg S. RadiÊa 1;1;2358179.97;5003775.21;1;Prikaûi na karti;;" 14∞ 41' 26""";" 45∞ 10' 23"""
21003;10003;33;10125;1;Bankomat;Crikvenica;Vinodolska 6;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;33;8;Primorsko-goranska ûupanija;51260;Crikvenica;Vinodolska;6;;Vinodolska 6;Crikvenica, Vinodolska 6;6;2358285.43;5003832.6;1;Prikaûi na karti;;" 14∞ 41' 30""";" 45∞ 10' 25"""
21004;10004;35;46620;1;Bankomat;»akovec;Kralja Tomislava 5;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;35;20;Meimurska ûupanija;40000;»akovec;Kralja Tomislava;5;;Kralja Tomislava 5;»akovec, Kralja Tomislava 5;5;2495521.1;5137425.3;1;Prikaûi na karti;;" 16∞ 26' 12""";" 46∞ 23' 25"""
24003;10004;35;;4;Ureaj za zaprimanje naloga;»akovec;Kralja Tomislava 5;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;35;20;Meimurska ûupanija;40000;»akovec;Kralja Tomislava;5;;Kralja Tomislava 5;»akovec, Kralja Tomislava 5;5;2495521.1;5137425.3;1;Prikaûi na karti;;" 16∞ 26' 12""";" 46∞ 23' 25"""
21214;;36;67320;1;Bankomat;»akovec;ObrtinËka 1;1;U funkciji (radi);Kaufland Hrvatska k.d.;2;u radno vrijeme objekta;;;1;Prikaûi na karti;36;20;Meimurska ûupanija;40000;»akovec;ObrtniËka;1;;ObrtinËka 1;»akovec, ObrtniËka 1;1;2493797.89;5137220.23;1;Prikaûi na karti;;" 16∞ 24' 52""";" 46∞ 23' 18"""
21215;;37;10036;1;Bankomat;»akovec;T. GoriËanca 1;1;U funkciji (radi);Betex ;1;0-24 h;;;1;Prikaûi na karti;37;20;Meimurska ûupanija;40000;»akovec;T. GoriËanca;1;;T. GoriËanca 1;»akovec, T. GoriËanca 1;1;2496026.9;5136267.6;1;Prikaûi na karti;;" 16∞ 26' 36""";" 46∞ 22' 47"""
21005;10005;38;44420;1;Bankomat;»akovec;Ul. Matice Hrvatske 10;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;38;20;Meimurska ûupanija;40000;»akovec;Ulica Matice Hrvatske;10;;Ulica Matice Hrvatske 10;»akovec, Ulica Matice Hrvatske 10;10;2495413.9;5137285.3;1;Prikaûi na karti;;" 16∞ 26' 7""";" 46∞ 23' 20"""
22001;10005;38;;2;Dnevno-noÊni trezor;»akovec;Ulica Matice Hrvatske 10;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;38;20;Meimurska ûupanija;40000;»akovec;Ulica Matice Hrvatske;10;;Ulica Matice Hrvatske 10;»akovec, Ulica Matice Hrvatske 10;10;2495413.9;5137285.3;1;Prikaûi na karti;;" 16∞ 26' 7""";" 46∞ 23' 20"""
21216;;39;10027;1;Bankomat;»azma;Kralja Tomislava bb;1;U funkciji (radi);"Knjiûara i papirnica ""Dani""";1;0-24 h;;;1;Prikaûi na karti;39;7;Bjelovarsko-bilogorska ûupanija;43240;»azma;Kralja Tomislava;0;BB;Kralja Tomislava bb;»azma, Kralja Tomislava BB;BB;2509458.12;5066180.06;1;Prikaûi na karti;;" 16∞ 36' 60""";" 45∞ 44' 56"""
21217;;40;66340;1;Bankomat;»epin;K. Tomislava 1a;1;U funkciji (radi);Optika Oko;1;0-24 h;;;1;Prikaûi na karti;40;14;OsjeËko-baranjska ûupanija;31431;»epin;K. Tomislava;1;A;K. Tomislava 1A;»epin, K. Tomislava 1/A;1/A;2662554.98;5043086.87;1;Prikaûi na karti;;" 18∞ 34' 35""";" 45∞ 31' 20"""
21219;;42;57951;1;Bankomat;»ilipi;ZraËna luka Dubrovnik;1;U funkciji (radi);ZraËna luka Dubrovnik;1;0-24 h;;;1;Prikaûi na karti;42;19;DubrovaËko-neretvanska ûupanija;20213;»ilipi;ZraËna luka Dubrovnik;0;;ZraËna luka Dubrovnik;»ilipi, ZraËna luka Dubrovnik ;;2645122.85;4713560.82;1;Prikaûi na karti;;" 18∞ 15' 47""";" 42∞ 33' 40"""
21222;;45;10115;1;Bankomat;Davor;J.J.Strossmayera 2;1;U funkciji (radi);Mercator-H. d.o.o.;1;0-24 h;;;1;Prikaûi na karti;45;12;Brodsko-posavska ûupanija;35425;Davor;J.J.Strossmayera;2;;J.J.Strossmayera 2;Davor, J.J.Strossmayera 2;2;2580218.2;4996152.72;1;Prikaûi na karti;;" 17∞ 30' 53""";" 45∞ 6' 51"""
21223;;46;96546;1;Bankomat;DesiniÊ;Sv. Jurja 9;1;U funkciji (radi);PZ DesiniËanka;1;0-24 h;;;1;Prikaûi na karti;46;2;Krapinsko-zagorska ûupanija;49216;DesiniÊ;Sv. Jurja;9;;Sv. Jurja 9;DesiniÊ, Sv. Jurja 9;9;2436127.62;5110906.68;1;Prikaûi na karti;;" 15∞ 40' 5""";" 46∞ 8' 55"""
21224;;47;34439;1;Bankomat;Donja Bistra;StubiËka 509;1;U funkciji (radi);OpÊina Bistra;1;0-24 h;;;1;Prikaûi na karti;47;1;ZagrebaËka ûupanija;10298;Donja Bistra;StubiËka;509;;StubiËka 509;Donja Bistra, StubiËka 509;509;2450202.92;5083522.53;1;Prikaûi na karti;;" 15∞ 51' 11""";" 45∞ 54' 12"""
21006;10006;48;55046;1;Bankomat;Donja Stubica;TopliËka cesta 10;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;;;1;Prikaûi na karti;48;2;Krapinsko-zagorska ûupanija;49240;Donja Stubica;TopliËka cesta;10;;TopliËka cesta 10;Donja Stubica, TopliËka cesta 10;10;2459363.55;5092052.99;1;Prikaûi na karti;;" 15∞ 58' 14""";" 45∞ 58' 50"""
22002;10006;48;;2;Dnevno-noÊni trezor;Donja Stubica;TopliËka cesta 10;1;U funkciji (radi);ZABA Poslovnica;1;0-24 h;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;48;2;Krapinsko-zagorska ûupanija;49240;Donja Stubica;TopliËka cesta;10;;TopliËka cesta 10;Donja Stubica, TopliËka cesta 10;10;2459363.55;5092052.99;1;Prikaûi na karti;;" 15∞ 58' 14""";" 45∞ 58' 50"""
24004;10006;48;;4;Ureaj za zaprimanje naloga;Donja Stubica;TopliËka cesta 10;1;U funkciji (radi);ZABA Poslovnica;2;u radno vrijeme objekta;Usluga za klijente ZagrebaËke banke;;1;Prikaûi na karti;48;2;Krapinsko-zagorska ûupanija;49240;Donja Stubica;TopliËka cesta;10;;TopliËka cesta 10;Donja Stubica, TopliËka cesta 10;10;2459363.55;5092052.99;1;Prikaûi na karti;;" 15∞ 58' 14""";" 45∞ 58' 50"""
21225;;49;71336;1;Bankomat;Donja Zelina;Sv. Nikole 1;1;U funkciji (radi);IB IvanËan d.o.o.;1;0-24 h;;;1;Prikaûi na karti;49;1;ZagrebaËka ûupanija;10382;Donja Zelina;Sv. Nikole;1;;Sv. Nikole 1;Donja Zelina, Sv. Nikole 1;1;2479386.17;5083867.67;1;Prikaûi na karti;;" 16∞ 13' 45""";" 45∞ 54' 28"""
21226;;50;56535;1;Bankomat;Donji Dragonoûec;Donjodragonoöka cesta 30;1;U funkciji (radi);Ljekarna DeliÊ;1;0-24 h;;;1;Prikaûi na karti;50;21;Grad Zagreb;10253;Donji Dragonoûec;Donjodragonoöka cesta;30;;Donjodragonoöka cesta 30;Donji Dragonoûec, Donjodragonoöka cesta 30;30;2457151.87;5056619.73;1;Prikaûi na karti;;" 15∞ 56' 42""";" 45∞ 39' 42"""
21227;;51;97340;1;Bankomat;Donji Miholjac;Kolodvorska bb;1;U funkciji (radi);BILLA d.o.o.;2;u radno vrijeme objekta;;;1;Prikaûi na karti;51;14;OsjeËko-baranjska ûupanija;31540;Donji Miholjac;Kolodvorska;0;BB;Kolodvorska bb;Donji Miholjac, Kolodvorska BB;BB;2630040.73;5068486.2;1;Prikaûi na karti;;" 18∞ 10' 1""";" 45∞ 45' 27"""
21228;;52;80815;1;Bankomat;Drniö;142 brigade 22;1;U funkciji (radi);"TO ""Nina""";1;0-24 h;;;1;Prikaûi na karti;52;15;äibensko-kninska ûupanija;22320;Drniö;142. brigade;22;;142. brigade 22;Drniö, 142. brigade 22;22;2472891.18;4856416.7;1;Prikaûi na karti;;" 16∞ 9' 28""";" 43∞ 51' 37"""
