CONT_ID,CONT_IMG,CONT_NAME,CONT_CITY,CONT_ADDRESS,CONT_PLACE,CONT_LATITUDE,CONT_LONGITUDE,CONT_LOCATION,CONT_TYPE,CONT_PHONE,CONT_FAX,CONT_SERVICES,CONT_WORKTIME,CONT_ZUPANIJA
275,(BLOB),POSLOVNICA VUKOVAR,32 000 VUKOVAR,STROSSMAYEROVA 4,,45.352055,19.002743,POSLOVNICA VUKOVAR,POSLOVNICA,032 451 000 / 010,032 451 019,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00 ,Ljetno radno vrijeme  od 16. srpnja do 31. kolovoza 2012.  pon, uto, sri, pet: 8.00 - 14.00  čet: 13.00 - 19.00,Sub: 8.00 - 12.00",VUKOVARSKO-SRIJEMSKA ŽUPANIJA
276,(BLOB),POSLOVNICA OSIJEK,31 000 OSIJEK,TRG ANTE STARČEVIĆA 7,,45.56163,18.676586,POSLOVNICA OSIJEK,POSLOVNICA,031 284 880,031 284 888,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",OSJEČKO-BARANJSKA ŽUPANIJA
277,(BLOB),POSLOVNICA VALPOVO,31 550 VALPOVO,TRG KRALJA TOMISLAVA 17,,45.658028,18.417892,POSLOVNICA VALPOVO,POSLOVNICA,031 654 041,031 654 042,"kunska štednja, devizna štednja, tekući računi,žiro računi,platni promet, krediti, internet bankarstvo,SMS usluge,stambena štednja,investicijsko bankarstvo,mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",OSJEČKO-BARANJSKA ŽUPANIJA
278,(BLOB),POSLOVNICA ĐAKOVO,14 000 ĐAKOVO,BANA JOSIPA JELAČIĆA 83,,45.310814,18.410522,POSLOVNICA ĐAKOVO,POSLOVNICA,031 815 156,031 815 158,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",OSJEČKO-BARANJSKA ŽUPANIJA
279,(BLOB),POSLOVNICA NAŠICE,31 500 NAŠICE,J. J. STROSSMAYERA 2,,45.490601,18.094482,POSLOVNICA NAŠICE,POSLOVNICA,031 615 162,031 615 173,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00,Ljetno radno vrijeme   9. srpnja do 18. kolovoza 2012.  pon, uto, sri, pet: 8.00 - 14.00  četvrtak: 13.00 - 19.00,Subota: 8.00 - 12.00",OSJEČKO-BARANJSKA ŽUPANIJA
377,(BLOB),POSLOVNICA RIJEKA,51 000 RIJEKA,ULJARSKA 4a,,45.325352,14.443374,POSLOVNICA RIJEKA,POSLOVNICA,051 555 571 /570,051 555 589,"kunska štednja, devizna štednja,tekući računi, žiro računi, platni promet, krediti,internet bankarstvo,SMS usluge, stambena štednja, investicijsko bankarstvo, mjenjačnica,",Pon. - pet.8.00 - 19.00 Sub. 8.00 - 12.00,PRIMORSKO-GORANSKA ŽUPANIJA
280,(BLOB),POSLOVNICA BELI MANASTIR,31 300 BELI MANASTIR,IMRE NAGYA 2e,,45.76902,18.59803,POSLOVNICA BELI MANASTIR,POSLOVNICA,031 701 412,031 701 414,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00,Ljetno radno vrijeme   2. srpnja do 10. kolovoza 2012. pon, uto, sri, pet.: 8.00 - 14.00  četvrtak: 13.00 - 19.00,Subota: 8.00 - 12.00",OSJEČKO-BARANJSKA ŽUPANIJA
281,(BLOB),POSLOVNICA POREČ,52 440 POREČ,TRG SLOBODE 14,,45.22731,13.595432,POSLOVNICA POREČ,POSLOVNICA,052 703 220,052 703 229,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon, uto, čet, pet.8.30 - 15.30Sri.8.30 - 19.00",ISTARSKA ŽUPANIJA
282,(BLOB),POSLOVNICA PULA,52 100 PULA,ANTICOVA 9,,44.867664,13.845831,POSLOVNICA PULA,POSLOVNICA,052 300 602 / 03,052 300 609,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",ISTARSKA ŽUPANIJA
283,(BLOB),POSLOVNICA RIJEKA,51 000 RIJEKA,KORZO 13,,45.326534,14.442376,POSLOVNICA RIJEKA,POSLOVNICA,051 301-280,051 301-288,"kunska štednja, devizna štednja, tekući računi, žiro računi, platni promet, krediti     internet bankarstvo, SMS usluge, stambena štednja, investicijsko bankarstvo,mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",PRIMORSKO-GORANSKA ŽUPANIJA
284,(BLOB),POSLOVNICA GOSPIĆ,53 000 GOSPIĆ,TRG S. RADIĆA bb,,44.547558,15.371418,POSLOVNICA GOSPIĆ,POSLOVNICA,053 617 101,053 617 109,"kunska štednja, devizna štednja, tekući računi, žiro računi, platni promet,      krediti, internet bankarstvo, SMS usluge, stambena štednja, investicijsko bankarstvo, poslovanje s poslovnim subjektima, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00 ,Ljetno radno vrijeme   9. srpnja do 24. kolovoza 2012  ponedjeljak - petak: 8.00 - 14.00,Subota: 8.00 - 12.00",LIČKO-SENJSKA ŽUPANIJA
285,(BLOB),POSLOVNICA ZADAR,23 000 ZADAR,ZRINSKO-FRANKOPANSKA 8,,44.109753,15.235441,POSLOVNICA ZADAR,POSLOVNICA,023 350 000,023 350 018,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",ZADARSKA ŽUPANIJA
286,(BLOB),POSLOVNICA ŠIBENIK,22 000 ŠIBENIK,ZADARSKA 2,,43.736462,15.891616,POSLOVNICA ŠIBENIK ,POSLOVNICA,022 209 401,022 209 408,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",ŠIBENSKO-KNINSKA ŽUPANIJA
287,(BLOB),POSLOVNICA SPLIT - BIHAĆKA,21 000 SPLIT,BIHAĆKA 2,,43.512535,16.44207,POSLOVNICA SPLIT - BIHAĆKA ,POSLOVNICA,021 340 626,021 340 629,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",SPLITSKO-DALMATINSKA ŽUPANIJA
288,(BLOB),POSLOVNICA SPLIT - DUBROVAČKA,21 000 SPLIT,DUBROVAČKA 31,,43.510956,16.454247,POSLOVNICA SPLIT - DUBROVAČKA,POSLOVNICA,021 401 624 / 620,021 401 639,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",SPLITSKO-DALMATINSKA ŽUPANIJA
289,(BLOB),POSLOVNICA SPLIT III,21 000 SPLIT,RUĐERA BOŠKOVIĆA 18a (Prima3),,43.507404,16.466928,POSLOVNICA SPLIT III,POSLOVNICA,021 555 854,021 555 873,"kunska štednja, devizna štednja, tekući računi,žiro računi, platni promet,krediti, internet bankarstvo, SMS usluge, stambena štednja,investicijsko bankarstvo, mjenjačnica,","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",SPLITSKO-DALMATINSKA ŽUPANIJA
290,(BLOB),POSLOVNICA KAŠTEL STARI,21 216 KAŠTEL STARI,IVANA DANILA 12,,43.550617,16.343,POSLOVNICA KAŠTEL STARI ,POSLOVNICA,021 246 184,021 246 199,"akvizicija novih klijenata i održavanje poslovnog odnosa s postojećim klijentima, informiranje klijenata i prodaja proizvoda i usluga Banke i članica HPB Grupe, obavljanje financijskih i nefinancijskih transakcija po nalogu i za račun klijenta, otvaranje i vočđenje štednih i platno prometnih računa, depozitno poslovanje, zaprimanje, obrada i odobravanje kreditnih zahtjeva i zahtjeva za kartice, obavljanje gotovinskog i bezgotovinskog platnog prometa za poslovne subjekte, obavljanje mjenjačkih poslova, kontrola poslovanja ovlaštenih mjenjača, zastupanje u prodaji polica osiguranja, zaprimanje i rješavanje / proslječivanje upita i reklamacija klijenata","Pon. - pet.8.00 - 19.00,Sub.8.00 - 12.00",SPLITSKO-DALMATINSKA ŽUPANIJA
