,,,,,,,,,,,,,,,,,,,,,,,,,
BRANCH PK,BRANCH ID2,LOCATION FK,ORG ID,B TYPE,B NAME,B STATUS,REGION NAME,PHONE,REMARK,WEB LABEL,WEB NOTE,WEB STATUS,COUNTY ID,COUNTY NAME,OLS PLACE ID,OLS PLACE NAME,PLACE ZIP,PLACE NAME,STREET NAME,HOUSE N,HOUSE SUBN,X,Y,LONG,LAT
10044,10219,247,14711,1,Obala M.Tita 8b,1,Istarska županija,052/ 429-700,,Građani Županije,,1,18,Istarska županija,4875,Poreč,52440,Poreč,Obala M. Tita,0,BB,1513243.7,5657314.63," 13° 35' 37"""," 45° 13' 37"""
10219,10044,247,14714,2,Obala M.Tita 8b,1,Regija Istra,,,Pravne,,1,18,Istarska županija,4875,Poreč,52440,Poreč,Obala M. Tita,0,BB,1513243.7,5657314.63," 13° 35' 37"""," 45° 13' 37"""
10220,10045,252,14918,2,Trg Sv. Trojstva 20,1,Regija Slavonija,,,Pravne,,1,11,Požeško-slavonska županija,4909,Požega,34000,Požega,Trg Sv. Trojstva,20,,1967765.5,5673743.5," 17° 40' 36"""," 45° 19' 51"""
10045,10220,252,14908,1,Trg Sv. Trojstva 20,1,Požeško- slavonska županija,034/ 312-435,,Građani Županije,,1,11,Požeško-slavonska županija,4909,Požega,34000,Požega,Trg Sv. Trojstva,20,,1967765.5,5673743.5," 17° 40' 36"""," 45° 19' 51"""
10046,,254,14615,1,Stjepana Radića 14,1,Krapinsko- zagorska županija,049/ 329-675,,Građani Županije,,1,2,Krapinsko-zagorska županija,4503,Pregrada,49218,Pregrada,Stjepana Radića,14,,2442434.45,5112405.81," 15° 44' 58"""," 46° 9' 45"""
10047,10221,266,14707,1,Matka Laginje 1,1,Istarska županija,052/ 602-000,,Građani Županije,,1,18,Istarska županija,5109,Pula,52100,Pula,Matka Laginje,1,,2290841.7,4971720.58," 13° 50' 52"""," 44° 52' 5"""
10221,10047,266,14721,2,Matka Laginje 1,1,Regija Istra,,,Pravne,,1,18,Istarska županija,5109,Pula,52100,Pula,Matka Laginje,1,,2290841.7,4971720.58," 13° 50' 52"""," 44° 52' 5"""
10222,10048,271,14706,2,Šijanska cesta 1B,1,Regija Istra,,,Pravne,,1,18,Istarska županija,5109,Pula,52100,Pula,Šijanska cesta,1,B,2292358.8,4973216.6," 13° 51' 58"""," 44° 52' 55"""
10048,10222,271,14716,1,Šijanska cesta 1B,1,Istarska županija,052/ 602-050,,Građani Županije,,1,18,Istarska županija,5109,Pula,52100,Pula,Šijanska cesta,1,B,2292358.8,4973216.6," 13° 51' 58"""," 44° 52' 55"""
10049,,281,14701,1,A. Manzoni 1,1,Primorsko- goranska županija,051/ 353-900,,Građani Županije,,1,8,Primorsko-goranska županija,4388,Rijeka,51000,Rijeka,Aleksandra Manzoni,1,,2338393.84,5021794.47," 14° 25' 59"""," 45° 19' 51"""
