Oznaka bankomata;Adresa;Poštanski broj;Mjesto;Županija;Lokacija bankomata;Zemljopisna širina;Zemljopisna dužina;Uplatni modul
ATM421;ANDRIJE HEBRANGA 6;47220;VOJNIÆ;KARLOVAÈKA;POŠTANSKI URED;45.324795;15.695091;FALSE
ATM422;BANA JELAÈIÆA 15;21223;OKRUG GORNJI;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.493423;16.263927;FALSE
ATM423;CAPRAŠKA 4;10000;ZAGREB;GRAD ZAGREB;STANICA ZA TEHNIÈKI PREGLED;45.795059;16.017124;FALSE
ATM424;VUKOVARSKA 19;52100;PULA;ISTARSKA;KONZUM;44.86974;13.855002;FALSE
ATM425;MUNIDA 9;52203;MEDULIN;ISTARSKA;PRIVATNI PROSTOR;44.824345;13.932241;FALSE
ATM426;VLAÈICA 13;21400;SUPETAR;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.384636;16.551985;FALSE
ATM427;KRALJA ZVONIMIRA 9A;33515;ORAHOVICA;VIROVITIÈKO-PODRAVSKA;PEKARA DANADO;45.529522;17.881531;FALSE
ATM428;N.Š. ZRINSKOG 4;31220;VIŠNJEVAC;OSJEÈKO-BARANJSKA;FRIZERSKI SALON STUDIO X;45.565086;18.619493;FALSE
ATM429;PALJE BRDO BB;20220;KARASOVIÆI;DUBROVAÈKO-NERETVANSKA;GP KARASOVIÆI;42.490623;18.434135;FALSE
ATM430;BUZINSKI KRÈI 1;10000;ZAGREB;GRAD ZAGREB;SUPERNOVA;45.755646;15.988219;FALSE
ATM431;AUGUSTA ŠENOE 12;42000;VARAŽDIN;VARAŽDINSKA;GRADSKA TRŽNICA VARAŽDIN;46.310173;16.33983;FALSE
ATM432;ZVONIMIROVA 3;51000;RIJEKA;PRIMORSKO-GORANSKA;TRGOVAÈKI CENTAR ZTC;45.337772;14.408795;FALSE
ATM434;TREŠNJEVAÈKI TRG B.B.;10000;ZAGREB;GRAD ZAGREB;TRŽNICA TREŠNJEVKA;45.79969;15.953559;FALSE
ATM435;SAVSKA CESTA B.B. (179);10000;ZAGREB;GRAD ZAGREB;OKRETIŠTE SAVSKI MOST;45.786007;15.953259;FALSE
ATM436;ILICA B.B. (247);10000;ZAGREB;GRAD ZAGREB;OKRETIŠTE ÈRNOMEREC;45.814995;15.934151;FALSE
ATM437;AVENIJA DUBRAVA B.B.;10000;ZAGREB;GRAD ZAGREB;OKRETIŠTE DUBRAVA;45.824406;16.037325;FALSE
ATM438;DR. FRANJE TUÐMANA 4;32236;ILOK;VUKOVARSKO-SRIJEMSKA;ILOK TEKSTIL;45.223705;19.369148;FALSE
ATM439;BANA JELAÈIÆA 8;21240;TRILJ;SPLITSKO-DALMATINSKA;ISPOSTAVA TRILJ;43.61636;16.729654;FALSE
ATM440;DR. FRANJE TUÐMANA 1270;21217;KAŠTEL ŠTAFILIÆ;SPLITSKO-DALMATINSKA;ZRAÈNA LUKA SPLIT;43.536419;16.298931;FALSE
ATM441;HORVAÆANSKA 27;10000;ZAGREB;GRAD ZAGREB;MJENJAÈNICA;45.7868;15.950298;FALSE
ATM442;MARŠALA TITA 1;40305;NEDELIŠÆE;MEÐIMURSKA;POŠTANSKI URED;46.376789;16.380529;FALSE
ATM443;STJEPANA I ANTUNA RADIÆA 34;44000;SISAK;SISAÈKO-MOSLAVAÈKA;POSLOVNICA;45.488583;16.37295;TRUE
ATM444;VAJDIN VIJENAC 18;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR;45.765945;15.993189;FALSE
ATM445;PUJANKE B.B.;21112;SPLIT;SPLITSKO-DALMATINSKA;POŠTANSKI URED;43.516502;16.472876;FALSE
ATM446;JABLANSKA 80;10000;ZAGREB;GRAD ZAGREB;KAUFLAND;45.795879;15.918846;FALSE
ATM447;ULICA STJEPANA ŠIROLE 6;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR;45.807072;15.994517;FALSE
ATM448;HRGOVIÆI 73;10000;ZAGREB;GRAD ZAGREB;ELEKTRON MARKET;45.785595;15.92788;FALSE
ATM449;BENCEKOVIÆEVA 27;10000;ZAGREB;GRAD ZAGREB;KORTEKS STIL D.O.O.;45.783405;15.960823;FALSE
ATM450;TRG SLOBODE 1;40323;PRELOG;MEÐIMURSKA;IDA COMERC D.O.O.;46.33765;16.616322;FALSE
ATM451;PROLAZ J.BENEŠIÆA 2;31000;OSIJEK;OSJEÈKO-BARANJSKA;POSLOVNICA;45.560715;18.67872;TRUE
ATM452;OBALA KNEZA DOMAGOJA B.B.;23000;ZADAR;ZADARSKA;BORIK;44.131588;15.210721;FALSE
ATM453;KRALJA TOMISLAVA 14;43240;ÈAZMA;BJELOVARSKO-BILOGORSKA;POŠTANSKI URED;45.748001;16.614611;FALSE
ATM454;J.J. STROSSMAYERA 16;32000;VUKOVAR;VUKOVARSKO-SRIJEMSKA;POSLOVNICA;45.353172;19.001541;TRUE
ATM455;DANKOVEÈKA ULICA 104;10000;ZAGREB;GRAD ZAGREB;PEKARA STARI ZAGREB;45.84161;16.055864;FALSE
ATM456;CVJETNA CESTA 13;10000;ZAGREB;GRAD ZAGREB;PEKARA FINO I FRIŠKO;45.791317;15.962523;FALSE
ATM458;VLADIMIRA NAZORA 22;44250;PETRINJA;SISAÈKO-MOSLAVAÈKA;DOLENAC PROMET D.O.O.;45.439697;16.278402;FALSE
ATM459;GRAÈANSKA CESTA 72;10000;ZAGREB;GRAD ZAGREB;PRIVATNI PROSTOR BAR CODE;45.854553;15.974899;FALSE
